"Title: Annexure B - Catchment Design (Regional Language Text) (Source: Delhi Flood Control Order, 2025 - Page 31)"

"(cid:94)(cid:856)(cid:69)(cid:75)(cid:856)(cid:3)
(cid:3)","(cid:3)(cid:69)(cid:258)(cid:373)(cid:286)(cid:3)(cid:381)(cid:296)(cid:3)(cid:24)(cid:286)(cid:393)(cid:258)(cid:396)(cid:410)(cid:373)(cid:286)(cid:374)(cid:410)(cid:3)
(cid:3)","(cid:100)(cid:381)(cid:410)(cid:258)(cid:367)(cid:3)(cid:69)(cid:381)(cid:856)(cid:3)(cid:381)(cid:296)(cid:3)(cid:24)(cid:396)(cid:258)(cid:349)(cid:374)(cid:400)(cid:3)
(cid:1008)(cid:918)(cid:3)(cid:258)(cid:374)(cid:282)(cid:3)(cid:258)(cid:271)(cid:381)(cid:448)(cid:286)(cid:3)
(cid:24)(cid:286)(cid:393)(cid:410)(cid:346)(cid:3)","(cid:62)(cid:286)(cid:374)(cid:336)(cid:410)(cid:346)(cid:3)
(cid:894)(cid:349)(cid:374)(cid:3)(cid:364)(cid:373)(cid:895)(cid:3)
(cid:3)"
(cid:1005)(cid:3),(cid:3)(cid:87)(cid:116)(cid:24)(cid:3),(cid:1005)(cid:1007)(cid:1011)(cid:1009)(cid:3),(cid:1006)(cid:1004)(cid:1010)(cid:1008)(cid:3)
(cid:1006)(cid:3),(cid:3)(cid:24)(cid:286)(cid:367)(cid:346)(cid:349)(cid:3)(cid:68)(cid:437)(cid:374)(cid:349)(cid:272)(cid:349)(cid:393)(cid:258)(cid:367)(cid:3)(cid:18)(cid:381)(cid:396)(cid:393)(cid:381)(cid:396)(cid:258)(cid:410)(cid:349)(cid:381)(cid:374)(cid:3),"(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:1010)(cid:1006)(cid:1009)(cid:3)
(cid:3)",(cid:1008)(cid:1012)(cid:1007)(cid:3)
(cid:1007)(cid:3),(cid:69)(cid:286)(cid:449)(cid:3)(cid:24)(cid:286)(cid:367)(cid:346)(cid:349)(cid:3)(cid:68)(cid:437)(cid:374)(cid:349)(cid:272)(cid:349)(cid:393)(cid:258)(cid:367)(cid:3)(cid:18)(cid:381)(cid:437)(cid:374)(cid:272)(cid:349)(cid:367)(cid:3),(cid:1006)(cid:1010)(cid:1005)(cid:3),(cid:1007)(cid:1007)(cid:1009)(cid:3)
(cid:1008)(cid:3),(cid:24)(cid:286)(cid:367)(cid:346)(cid:349)(cid:3)(cid:24)(cid:286)(cid:448)(cid:286)(cid:367)(cid:381)(cid:393)(cid:373)(cid:286)(cid:374)(cid:410)(cid:3)(cid:4)(cid:437)(cid:410)(cid:346)(cid:381)(cid:396)(cid:349)(cid:410)(cid:455)(cid:3),(cid:1005)(cid:1006)(cid:1008)(cid:3),(cid:1006)(cid:1009)(cid:1005)(cid:3)
(cid:1009)(cid:3),"(cid:47)(cid:396)(cid:396)(cid:349)(cid:336)(cid:258)(cid:410)(cid:349)(cid:381)(cid:374)(cid:3)(cid:258)(cid:374)(cid:282)(cid:3)(cid:38)(cid:367)(cid:381)(cid:381)(cid:282)(cid:3)(cid:18)(cid:381)(cid:374)(cid:410)(cid:396)(cid:381)(cid:367)(cid:3)
(cid:24)(cid:286)(cid:393)(cid:258)(cid:396)(cid:410)(cid:373)(cid:286)(cid:374)(cid:410)(cid:3)",(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:1011)(cid:1011)(cid:3),(cid:1008)(cid:1005)(cid:1013)(cid:3)
(cid:1010)(cid:3),(cid:24)(cid:94)(cid:47)(cid:47)(cid:24)(cid:18)(cid:3),(cid:1007)(cid:1009)(cid:1004)(cid:3),(cid:1013)(cid:1012)(cid:3)
(cid:1011)(cid:3),(cid:24)(cid:286)(cid:367)(cid:346)(cid:349)(cid:3)(cid:18)(cid:258)(cid:374)(cid:410)(cid:381)(cid:374)(cid:373)(cid:286)(cid:374)(cid:410)(cid:3)(cid:17)(cid:381)(cid:258)(cid:396)(cid:282)(cid:3),(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:1007)(cid:1007)(cid:3),(cid:1007)(cid:1013)(cid:3)
(cid:1012)(cid:3),(cid:69)(cid:100)(cid:87)(cid:18)(cid:3),(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:3)(cid:1005)(cid:3),(cid:1007)(cid:3)
(cid:3),(cid:3)(cid:100)(cid:381)(cid:410)(cid:258)(cid:367)(cid:3)(cid:282)(cid:396)(cid:258)(cid:349)(cid:374)(cid:400)(cid:3),(cid:1006)(cid:1012)(cid:1008)(cid:1010)(cid:3),(cid:1007)(cid:1010)(cid:1013)(cid:1006)(cid:3)
