rainfall_1h,rainfall_3h,rainfall_6h,recent_rainfall_intensity,elevation,slope,distance_to_drain,distance_to_road,distance_to_infra,population_total,critical_infra_flag,flood_severity
3.2,6.7,9.7,1.6166666666666665,0.0,0.0,2918.200674287445,15.4683998688613,169.57148611871165,582320,0,Low
38.6,77.7,112.6,18.766666666666666,0.0,0.0,2910.354269422088,16.536882388451875,85.97815267204233,582320,1,Medium
32.6,88.5,131.0,21.83333333333333,0.0,0.0,2490.0088880312787,27.733003896549203,41.84226409931371,582320,1,Medium
20.9,43.1,56.8,9.466666666666669,0.0,0.0,2861.9105267777018,8.899480154088982,106.5370775993106,582320,1,Low
17.64,60.55,77.93,12.988333333333337,0.0,0.0,12147.28334473844,2549.4396694938982,615.0942391864652,887978,0,Low
5.1,12.8,17.5,2.9166666666666665,0.0,0.0,2880.0676133892907,29.57013896490672,123.4487070634994,582320,0,Low
39.5,95.5,134.5,22.416666666666668,0.0,0.0,2892.448810703721,59.29334591184463,236.6447031054185,582320,0,Medium
71.08,79.81,151.53,25.255,0.0,0.0,16735.86908575385,4373.553704750912,127.39498303368312,2241624,0,Low
8.7,19.4,29.3,4.883333333333334,0.0,0.0,2918.871915014901,27.822012742153102,113.67354233356666,582320,1,Low
6.4,14.2,22.2,3.7,0.0,0.0,3155.742043652924,20.71148263076103,1.887789030575356,582320,0,Low
79.82,179.57,220.03,36.67166666666667,0.0,0.0,13250.619715224677,5072.20123689802,232.48092587236687,2241624,0,High
56.8,84.6,144.44,24.07333333333333,0.0,0.0,7653.689335236843,10.885832689399038,337.86712641013884,887978,0,High
13.2,34.0,50.7,8.450000000000001,0.0,0.0,2390.5195708963806,33.89909703990666,209.05455780350115,582320,0,Low
41.4,105.9,166.4,27.73333333333333,0.0,0.0,2332.3499868203194,14.936250919902696,0.6210222384992453,582320,1,Medium
61.41,139.67,165.09,27.515,0.0,0.0,11108.5617632117,529.1959728149274,277.521947103822,2241624,1,High
5.8,14.2,19.2,3.2,0.0,0.0,3038.4194174831227,1.9741722973624205,3.777765269938661,582320,0,Low
23.4,53.6,73.8,12.3,0.0,0.0,2915.1630297332704,4.888817571439713,39.78024988515225,582320,0,Low
30.7,69.8,96.4,16.066666666666666,0.0,0.0,2531.464499557008,33.03073581075301,215.746865144826,582320,1,Low
25.8,52.6,82.8,13.8,0.0,0.0,2251.969882347112,54.48042307301292,330.32880410499484,2731929,0,Medium
65.38,97.64,167.68,27.94666666666667,0.0,0.0,3070.284595466801,4.937572099868283,195.05725582295923,2731929,0,High
80.5,151.59,186.75,31.125,0.0,0.0,1993.3098050440435,19.124715508193542,69.0416030927044,142004,0,Medium
53.15,130.09,183.29,30.54833333333333,0.0,0.0,11363.511182053702,917.8302194493324,1936.7943523726124,2241624,0,Medium
3.2,8.5,13.3,2.216666666666667,0.0,0.0,3030.303217913676,5.094752245253706,36.962406412123045,582320,0,Low
